Title,id,price,author,publisher,pub_year,s_tile,edition_num,description,availabe,sale_date,short_pub,num_of_author,width,height,cat_verification
UI is Communication,1218201,61.18616475,Everett N McKay,Elsevier Science,2013,"How to Design Intuitive, User Centered Interfaces by Focusing on Effective Communication",,"User interface design is a challenging, multi-disciplinary activity that requires understanding a wide range of concepts and techniques that are often subjective and even conflicting. Imagine how much it would help if there were a single perspective that you could use to simplify these complex issues down to a small set of objective...",True,2013-05-24T00:00:00,May 2013,1,97,150,UI_UX
Visual Thinking for Information Design,210258038,74.85266295,Colin Ware,Elsevier Science,2021,, (2nd ed.),"Visual Thinking for Information Design, Second Edition brings the science of perception to the art of design. The book takes what we now know about perception, cognition and attention and transforms it into concrete advice that students and designers can directly apply. It demonstrates how designs can be considered as tools for...",True,2021-03-26T00:00:00,Mar 2021,1,97,150,UI_UX
101 UX Principles,96393872,66.99,Will Grant,Packt Publishing,2018,A definitive design guide,,,True,2018-08-31T00:00:00,Aug 2018,1,97,150,UI_UX
End-to-End Web Testing with Cypress,210218484,49.99,Waweru Mwaura,Packt Publishing,2021,Explore techniques for automated frontend web testing with Cypress and JavaScript,,,True,2021-01-29T00:00:00,Jan 2021,1,97,150,UI_UX
Hands-On Microsoft Lists,210313763,34.99,João Ferreira,Packt Publishing,2021,Create custom data models and improve the way data is organized using Lists in Microsoft 365,,,True,2021-07-16T00:00:00,Jul 2021,2,97,150,UI_UX
Expert Microsoft Teams Solutions,210542695,49.99,Aaron Guilmette,Packt Publishing,2022,A guide to Teams architecture and integration for advanced end users and administrators,,,True,2022-04-29T00:00:00,Apr 2022,4,97,150,UI_UX
Game Development with Rust and WebAssembly,210533158,44.99,Eric Smith,Packt Publishing,2022,Learn how to run Rust on the web while building a game,,,True,2022-04-29T00:00:00,Apr 2022,1,97,150,UI_UX
Clean Android Architecture,210571014,39.99,Alexandru Dumbravan,Packt Publishing,2022,"Take a layered approach to writing clean, testable, and decoupled Android applications",,,True,2022-06-20T00:00:00,Jun 2022,2,97,150,UI_UX
Building Games with Flutter,210579040,39.99,Paul Teale,Packt Publishing,2022,The ultimate guide to creating multiplatform games using the Flame engine in Flutter 3,,,True,2022-06-30T00:00:00,Jun 2022,1,97,150,UI_UX
The Missing Bootstrap 5 Guide,210636935,37.99,Jeppe Schaumburg Jensen,Packt Publishing,2022,Customize and extend Bootstrap 5 with Sass and JavaScript to create unique website designs,,,True,2022-08-26T00:00:00,Aug 2022,1,97,150,UI_UX
Cross-Platform UIs with Flutter,210657437,37.99,Ryan Edge,Packt Publishing,2022,Unlock the ability to create native multiplatform UIs using a single code base with Flutter 3,,,True,2022-08-26T00:00:00,Aug 2022,2,97,150,UI_UX
Mastering CSS Grid,210844550,37.99,Pascal Thormeier,Packt Publishing,2023,A comprehensive and practical guide to creating beautiful layouts with CSS Grid,,,True,2023-06-09T00:00:00,Jun 2023,1,97,150,UI_UX
The MVVM Pattern in .NET MAUI,211163288,46.99,Pieter Nijs,Packt Publishing,2023,"The definitive guide to essential patterns, best practices, and techniques for cross-platform app development",,,True,2023-11-30T00:00:00,Nov 2023,2,97,150,UI_UX
"HCI for Cybersecurity, Privacy and Trust",210329777,73.51399426,Abbas Moallem,Springer International Publishing,2021,"Third International Conference, HCI-CPT 2021, Held as Part of the 23rd HCI International Conference, HCII 2021, Virtual Event, July 24–29, 2021, Proceedings",,"This book constitutes the refereed proceedings of the Third International Conference on HCI for Cybersecurity, Privacy and Trust, HCI-CPT 2021, held as part of the 23rd International Conference, HCI International 2021, which took place virtually...",True,2021-07-03T00:00:00,Jul 2021,1,97,150,UI_UX
Conceptual Models,210576304,39.69079226,Jeff Johnson,Springer International Publishing,2022,Core to Good Design,,"People make use of software applications in their activities, applying them as tools in carrying out tasks. That this use should be good for people--easy, effective, efficient, and enjoyable--is a principal goal of design. In this book, we present the notion of Conceptual Models, and argue that Conceptual Models are core to achieving...",True,2022-05-31T00:00:00,May 2022,2,97,150,UI_UX
UX Decoded,210582235,20.35001475,Dushyant Kanungo,BPB Publications,2022,"Think and Implement User-Centered Research Methodologies, and Expert-Led UX Best Practices",,"This book aims to provide UX professionals with the information, tools, and techniques they need to apply a user-centric approach to product design. It will show you how to learn about your customers&#39; wants and create products that they will enjoy.The book takes the reader on a journey that begins with learning to understand user behavior,...",True,2022-04-23T00:00:00,Apr 2022,1,97,150,UI_UX
Universal Principles of UX,210705173,53.0,Irene Pereyra,Rockport Publishers,2023,100 Timeless Strategies to Create Positive Interactions between People and Technology,,"Universal Principles of UX is a comprehensive, cross-disciplinary encyclopedia for user experience designers.",True,2023-03-07T00:00:00,Mar 2023,1,97,150,UI_UX
Handbook of Usability Testing,343716,76.0,Jeffrey Rubin,Wiley,2008,"How to Plan, Design, and Conduct Effective Tests", (2nd ed.),"Whether it's software, a cell phone, or a refrigerator, your customer wants - no, expects - your product to be easy to use. This fully revised handbook provides clear, step-by-step guidelines to help you test your product for usability. Completely...",True,2008-04-30T00:00:00,Apr 2008,3,97,150,UI_UX
