Title,id,price,author,publisher,pub_year,s_tile,edition_num,description,availabe,sale_date,short_pub,num_of_author,width,height,cat_verification
C# 12 Pocket Reference,211139147,27.99,Joseph Albahari,O'Reilly Media,2023,,,"Looking for quick answers for using C# 12? This tightly focused and practical guide tells you exactly what you need to know without long intros or bloated samples. Succinct and easy to browse, this pocket reference is an ideal quick source of information. If you know Java, C++, or an earlier C# version, this guide will help you get rapidly up to...",True,2023-10-27T00:00:00,Oct 2023,2,97,150,Program_lang
Python Cookbook,1187796,40.99,David Beazley,O'Reilly Media,2013,Recipes for Mastering Python 3, (3rd ed.),"If you need help writing programs in Python 3, or want to update older Python 2 code, this book is just the ticket. Packed with practical recipes written and tested with Python 3.3, this unique cookbook is for experienced Python programmers who want to focus on modern tools and idioms. Inside, youâ??ll find complete recipes for more than a dozen...",True,2013-05-10T00:00:00,May 2013,2,97,150,Program_lang
Effective Java,95923472,59.87940795,Joshua Bloch,Pearson Education,2017,, (3rd ed.),"The Definitive Guide to Java Platform Best Practices—Updated for Java 7, 8, and 9 Java has changed dramatically since the previous edition of Effective Java was published shortly after the release of Java 6. This Jolt award-winning classic has now been thoroughly updated to take full advantage of the latest language and library features. The...",True,2017-12-18T00:00:00,Dec 2017,1,97,150,Program_lang
Fonts & Encodings,540615,47.99,Yannis Haralambous,O'Reilly Media,2007,From Advanced Typography to Unicode and Everything in Between,,"This reference is a fascinating and complete guide to using fonts and typography on the Web and across a variety of operating systems and application software. Fonts & Encodings shows you how to take full advantage of the incredible number of typographic options available, with advanced material that covers everything from designing glyphs to...",True,2007-11-21T00:00:00,Sep 2007,1,97,150,Program_lang
Practical RDF,540463,31.99,Shelley Powers,O'Reilly Media,2003,Solving Problems with the Resource Description Framework,,"The Resource Description Framework (RDF) is a structure for describing and interchanging metadata on the Web--anything from library catalogs and worldwide directories to bioinformatics, Mozilla internal data structures, and knowledge bases for artificial intelligence projects. RDF provides a consistent framework and syntax for describing and...",True,2007-06-19T00:00:00,Jul 2003,1,97,150,Program_lang
Beginning C++ Game Programming,209836918,45.99,John Horton,Packt Publishing,2019,Learn to program with C++ by building fun games,,,True,2019-10-31T00:00:00,Oct 2019,1,97,150,Program_lang
Learn LLVM 17,211183979,50.99,Kai Nacke,Packt Publishing,2024,A beginner's guide to learning LLVM compiler tools and core libraries with C++,,,True,2024-01-12T00:00:00,Jan 2024,2,97,150,Program_lang
Head First Java,210574751,84.99,Kathy Sierra,O'Reilly Media,2022,, (3rd ed.),"What will you learn from this book? Head First Java is a complete learning experience in Java and object-oriented programming. With this book, you'll learn the Java language with a unique method that goes beyond how-to manuals and helps you become a great programmer. Through puzzles, mysteries, and soul-searching interviews with famous Java...",True,2022-05-26T00:00:00,May 2022,3,97,150,Program_lang
C++ Software Design,210671407,84.99,Klaus Iglberger,O'Reilly Media,2022,,,"Good software design is essential for the success of your project, but designing software is hard to do. You need to have a deep understanding of the consequences of design decisions and a good overview of available design alternatives. With this book, experienced C++ developers will get a thorough, practical, and unparalleled overview of...",True,2022-09-21T00:00:00,Sep 2022,1,97,150,Program_lang
Python for Excel,210239573,71.99,Felix Zumstein,O'Reilly Media,2021,,,"While Excel remains ubiquitous in the business world, recent Microsoft feedback forums are full of requests to include Python as an Excel scripting language. In fact, it's the top feature requested. What makes this combination so compelling? In this hands-on guide, Felix Zumstein--creator of xlwings, a popular open source package for automating...",True,2021-03-04T00:00:00,Mar 2021,1,97,150,Program_lang
Introducing Python,209884598,59.99,Bill Lubanovic,O'Reilly Media,2019,Modern Computing in Simple Packages, (2nd ed.),"Easy to understand and fun to read, this updated edition of Introducing Python is ideal for beginning programmers as well as those new to the language. Author Bill Lubanovic takes you from the basics to more involved and varied topics, mixing tutorials with cookbook-style code recipes to explain concepts in Python 3. End-of-chapter exercises...",True,2019-11-06T00:00:00,Nov 2019,1,97,150,Program_lang
Learning JavaScript Design Patterns,210832548,71.99,Addy Osmani,O'Reilly Media,2023,, (2nd ed.),"Do you want to write beautiful, structured, and maintainable JavaScript by applying modern design patterns to the language? Do you want clean, efficient, manageable code? Want to stay up-to-date with the latest best practices? If so, the updated second edition of Learning JavaScript Design Patterns is the ideal place to start. Author Addy Osmani...",True,2023-04-28T00:00:00,Apr 2023,1,97,150,Program_lang
Test-Driven Development with Python,95836888,79.99,Harry Percival,O'Reilly Media,2017,"Obey the Testing Goat: Using Django, Selenium, and JavaScript", (2nd ed.),"By taking you through the development of a real web application from beginning to end, the second edition of this hands-on guide demonstrates the practical advantages of test-driven development (TDD) with Python. You’ll learn how to write and run tests before building each part of your app, and then develop the minimum amount of code required to...",True,2017-08-02T00:00:00,Aug 2017,1,97,150,Program_lang
C# 10 and .NET 6 – Modern Cross-Platform Development,210408704,80.99,Mark J. Price,Packt Publishing,2021,"Build apps, websites, and services with ASP.NET Core 6, Blazor, and EF Core 6 using Visual Studio 2022 and Visual Studio Code",,,True,2021-11-09T00:00:00,Nov 2021,1,97,150,Program_lang
Programming C# 10,210641012,84.99,Ian Griffiths,O'Reilly Media,2022,,,"C# is undeniably one of the most versatile programming languages available to engineers today. With this comprehensive guide, you'll learn just how powerful the combination of C# and .NET can be. Author Ian Griffiths guides you through C# 10.0 and .NET 6 fundamentals and techniques for building cloud, web, and desktop applications. Designed for...",True,2022-08-05T00:00:00,Aug 2022,1,97,150,Program_lang
JavaScript: The Good Parts,443287,23.99,Douglas Crockford,O'Reilly Media,2008,The Good Parts,,"Most programming languages contain good and bad parts, but JavaScript has more than its share of the bad, having been developed and released in a hurry before it could be refined. This authoritative book scrapes away these bad features to reveal a subset of JavaScript that's more reliable, readable, and maintainable than the language as a...",True,2008-12-01T00:00:00,May 2008,1,97,150,Program_lang
TypeScript Cookbook,211011087,71.99,Stefan Baumgartner,O'Reilly Media,2023,,,"TypeScript is one of the most important tools for JavaScript developers. Still, even experienced developers wonder why the TypeScript compiler is throwing squiggly red lines at them. Enter TypeScript Cookbook . With this practical guide, author Stefan Baumgartner provides senior engineers with solutions for everyday TypeScript problems. If...",True,2023-08-08T00:00:00,Aug 2023,1,97,150,Program_lang
Python for DevOps,209909481,67.99,Noah Gift,O'Reilly Media,2019,Learn Ruthlessly Effective Automation,,"Much has changed in technology over the past decade. Data is hot, the cloud is ubiquitous, and many organizations need some form of automation. Throughout these transformations, Python has become one of the most popular languages in the world. This practical resource shows you how to use Python for everyday Linux systems administration tasks...",True,2019-12-12T00:00:00,Dec 2019,4,97,150,Program_lang
SQL Pocket Guide,210361378,38.99,Alice Zhao,O'Reilly Media,2021,, (4th ed.),"If you use SQL in your day-to-day work as a data analyst, data scientist, or data engineer, this popular pocket guide is your ideal on-the-job reference. You'll find many examples that address the language's complexities, along with key aspects of SQL used in Microsoft SQL Server, MySQL, Oracle Database, PostgreSQL, and SQLite. In this updated...",True,2021-08-27T00:00:00,Aug 2021,1,97,150,Program_lang
