,title,video_id,channel_name,views,duration,url
131,King Von (feat. Polo G) - The Code (Official Video),luU7F7lvvjk,King Von,56M views,3:38,https://www.youtube.com/watch?v=luU7F7lvvjk
132,Offset - CODE ft. Moneybagg Yo (Official Video),8h6zkOfBBlU,OFFSETYRN,5.6M views,2:54,https://www.youtube.com/watch?v=8h6zkOfBBlU
133,code-fi / lofi beats to code/relax to,f02mOEt11OQ,The AMP Channel,8.1M views,1:00:20,https://www.youtube.com/watch?v=f02mOEt11OQ
134,Kaliii - Area Codes (Official Music Video),g3pLoVClX9M,Kaliii,44M views,2:19,https://www.youtube.com/watch?v=g3pLoVClX9M
135,Python Full Course for free 🐍,XKHEtdqhLK8,Bro Code,15M views,12:00:00,https://www.youtube.com/watch?v=XKHEtdqhLK8
136,Javo Donn - Cheat Code (Official Video),ZR_C7b5f0LI,JavodonnVEVO,391K views,3:04,https://www.youtube.com/watch?v=ZR_C7b5f0LI
137,Showcasing New SECRET Frezia + New Code In Anime Last Stand!,1fkMRLk_Ork,luckylof!,40K views,8:03,https://www.youtube.com/watch?v=1fkMRLk_Ork
138,"*NEW* STAR COINS CODE!! FREE HORSES, STAR RIDER & MORE REDEEM CODES IN STAR STABLE *BE FAST*",nE2X1AKRFkI,Star Stable Online United,5.5K views,10:10,https://www.youtube.com/watch?v=nE2X1AKRFkI
139,Police Surprise Woman at Her Doorstep After Spam Calling 911,9ezskyfHby0,Code Blue Cam,394K views,9:29,https://www.youtube.com/watch?v=9ezskyfHby0
140,What your Gorilla Tag Color Code says about you!  #gorillatag #vr #gtag,77Nyl9chZYs,Tuxedo ,116K views,1:00,https://www.youtube.com/watch?v=77Nyl9chZYs
141,McPlayGT - “CHEAT CODE” Official Music Video,g4FvWEsn5nQ,McPlayGT,177K views,2:23,https://www.youtube.com/watch?v=g4FvWEsn5nQ
142,Drama T - KODE (Official Video),y4KuExV19Xc,Drama T,892K views,3:39,https://www.youtube.com/watch?v=y4KuExV19Xc
143,Code 8 Part II | Official Trailer | Netflix,omBi2KxEcRk,Netflix,863K views,2:03,https://www.youtube.com/watch?v=omBi2KxEcRk
144,It’s time we make #tacos a bit longer(and better😋) AD code BURRITO Myprotein sale right now #scran,vYm6lj1MV5k,Elburritomonster,29K views,1:01,https://www.youtube.com/watch?v=vYm6lj1MV5k
145,How to ACTUALLY learn to code... 7 Roadmaps for 2023,66tfvFeALBQ,Fireship,1.6M views,9:02,https://www.youtube.com/watch?v=66tfvFeALBQ
146,Kali - Area Codes (Lyrics),o1mrGrtFjF8,Vibe Music,9.1M views,2:20,https://www.youtube.com/watch?v=o1mrGrtFjF8
147,"How I Learned to Code in 4 Months & Got a Job! (No CS Degree, No Bootcamp)",WR1ydijTx5E,Tim Kim,3.9M views,9:51,https://www.youtube.com/watch?v=WR1ydijTx5E
148,Drama T - KODE (Official Video),y4KuExV19Xc,Drama T,892K views,3:39,https://www.youtube.com/watch?v=y4KuExV19Xc
149,Learn To Code Like a GENIUS and Not Waste Time,q-_ezD9Swz4,The Coding Sloth,585K views,9:41,https://www.youtube.com/watch?v=q-_ezD9Swz4
150,Code 211 (Nicolas Cage) Film complet en français | 2018,-iZPQy_vjZI,Cinéma Cinémas,1.9M views,1:23:19,https://www.youtube.com/watch?v=-iZPQy_vjZI
151,Malie Donn - Cash Code ( Official Music Video),hJjPNE-8n8g,Malie Donn Muzik,2.5M views,3:04,https://www.youtube.com/watch?v=hJjPNE-8n8g
152,Python in 100 Seconds,x7X9w_GIm1s,Fireship,2.3M views,2:24,https://www.youtube.com/watch?v=x7X9w_GIm1s
153,Harvard CS50’s Introduction to Programming with Python – Full University Course,nLRL_NcnK-4,freeCodeCamp.org,3.5M views,15:57:48,https://www.youtube.com/watch?v=nLRL_NcnK-4
